name,id,nametype,recclass,mass,fall,year,reclat,reclong,city,zipcode,state
Norton County,17922,Valid,Aubrite,1100000.0,Fell,1948.0,39.68333,-99.86667,hays,67645,KS
Orlando,34489,Valid,Eucrite,180.0,Fell,2004.0,28.5475,-81.36222,orlando,32801,FL
Palmyra,18079,Valid,L3,135.0,Fell,1926.0,39.8,-91.5,quincy,63461,MO
Palolo Valley,18082,Valid,H5,682.0,Fell,1949.0,21.3,-157.78333,honolulu,96816,HI
Paragould,18101,Valid,LL5,408000.0,Fell,1930.0,36.06667,-90.5,paragould,72450,AR
Park Forest,18106,Valid,L5,18000.0,Fell,2003.0,41.48472,-87.67917,park forest,60466,IL
Pasamonte,18110,Valid,Eucrite-pmict,5100.0,Fell,1933.0,36.21667,-103.4,tucumcari,88415,NM
Peekskill,18782,Valid,H6,12570.0,Fell,1992.0,41.28333,-73.91667,peekskill,10567,NY
Peña Blanca Spring,18786,Valid,Aubrite,70000.0,Fell,1946.0,30.125,-103.11667,pecos,79830,TX
Pitts,18837,Valid,"Iron, IAB-ung",3760.0,Fell,1921.0,31.95,-83.51666999999999,cordele,31072,GA
Plantersville,18846,Valid,H6,2085.0,Fell,1930.0,30.7,-96.11667,college station,77861,TX
Portales Valley,18874,Valid,H6,71400.0,Fell,1998.0,34.175,-103.295,portales,88130,NM
Red Canyon Lake,53502,Valid,H5,18.41,Fell,2007.0,38.13742,-119.75811999999999,south lake tahoe,95364,CA
Richardton,22599,Valid,H5,90000.0,Fell,1918.0,46.88333,-102.31667,dickinson,58652,ND
Richland Springs,22602,Valid,OC,1900.0,Fell,1980.0,31.25,-99.03333,brownwood,76871,TX
Rose City,22766,Valid,H5,10600.0,Fell,1921.0,44.51667,-83.95,alpena,48761,MI
Salem,23107,Valid,L6,61.4,Fell,1981.0,44.97917,-122.96943999999999,hayesville,97301,OR
San Juan Capistrano,23128,Valid,H6,56.0,Fell,1973.0,33.48472,-117.6625,san juan capistrano,92624,CA
Schenectady,23458,Valid,H5,283.3,Fell,1968.0,42.86083,-73.95028,schenectady,12008,NY
Sharps,23525,Valid,H3.4,1265.0,Fell,1921.0,37.83333,-76.7,lexington park,22504,VA
Sioux County,23614,Valid,Eucrite-mmict,4100.0,Fell,1933.0,42.58333,-103.66667,scottsbluff,69346,NE
St. Louis,23089,Valid,H4,1000.0,Fell,1950.0,38.7,-90.23333000000001,jennings,63147,MO
St. Mary's County,23091,Valid,LL3.3,24.3,Fell,1919.0,38.16667,-76.38333,lexington park,20628,MD
Stratford,23728,Valid,L6,50.0,Fell,1974.0,41.2,-73.13333,stratford,06610,CT
Success,23736,Valid,L6,3500.0,Fell,1924.0,36.48333,-90.66667,poplar bluff,63953,MO
Sutter's Mill,55529,Valid,C,992.5,Fell,2012.0,38.80389,-120.90806,placerville,95651,CA
Sylacauga,23773,Valid,H4,5560.0,Fell,1954.0,33.188359999999996,-86.2945,sylacauga,35150,AL
Tilden,23998,Valid,L6,74800.0,Fell,1927.0,38.2,-89.68333,shiloh,62237,IL
Torrington,24032,Valid,H6,259.1,Fell,1944.0,42.06667,-104.16667,torrington,82240,WY
Troup,24054,Valid,L6,1020.0,Fell,1917.0,32.16667,-95.1,jacksonville,75789,TX
Turtle Lake,47343,Valid,L5,89.3,Fell,1996.0,45.34583,-92.05167,menomonie,54805,WI
Walters,24210,Valid,L6,28100.0,Fell,1946.0,34.33333,-98.3,lawton,73572,OK
Washougal,24218,Valid,Howardite,225.0,Fell,1939.0,45.58333,-122.35,washougal,97060,OR
Wethersfield (1971),24250,Valid,L6,350.0,Fell,1971.0,41.7,-72.65,wethersfield,06109,CT
Wethersfield (1982),24251,Valid,L6,2756.0,Fell,1982.0,41.71056,-72.67361,wethersfield,06109,CT
